Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
LKA,2019-02-01,2019-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2019,2019,,111.082547,X,base year is 2015
LKA,2020-02-01,2020-02-29,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2020,2020,,129.159446,X,base year is 2015
LKA,2021-02-01,2021-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2021,2021,,138.107512,X,base year is 2015
LKA,2022-02-01,2022-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2022,2022,,171.876099,X,base year is 2015
LKA,2023-02-01,2023-02-28,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2023,2023,,256.074058,X,base year is 2015
LKA,2024-02-01,2024-02-29,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2024,2024,,268.872148,X,base year is 2015
LKA,2000-03-01,2000-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2000,2000,,19.398498,I,base year is 2015
LKA,2001-03-01,2001-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2001,2001,,22.610169,I,base year is 2015
LKA,2002-03-01,2002-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2002,2002,,25.839039,I,base year is 2015
LKA,2003-03-01,2003-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2003,2003,,28.388061,I,base year is 2015
LKA,2004-03-01,2004-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2004,2004,,29.251910,I,base year is 2015
LKA,2005-03-01,2005-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2005,2005,,34.949633,I,base year is 2015
LKA,2006-03-01,2006-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2006,2006,,38.365279,I,base year is 2015
LKA,2007-03-01,2007-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2007,2007,,45.624113,I,base year is 2015
LKA,2008-03-01,2008-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2008,2008,,59.408622,I,base year is 2015
LKA,2009-03-01,2009-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2009,2009,,63.276155,I,base year is 2015
LKA,2010-03-01,2010-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2010,2010,,68.888303,I,base year is 2015
LKA,2011-03-01,2011-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2011,2011,,75.516113,I,base year is 2015
LKA,2012-03-01,2012-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2012,2012,,80.623767,I,base year is 2015
LKA,2013-03-01,2013-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2013,2013,,88.242853,I,base year is 2015
LKA,2014-03-01,2014-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2014,2014,,90.474882,X,base year is 2015
LKA,2015-03-01,2015-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2015,2015,,97.976795,X,base year is 2015
LKA,2016-03-01,2016-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2016,2016,,98.428717,X,base year is 2015
LKA,2017-03-01,2017-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2017,2017,,109.455626,X,base year is 2015
LKA,2018-03-01,2018-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2018,2018,,112.347930,X,base year is 2015
LKA,2019-03-01,2019-03-31,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2019,2019,,109.726780,X,base year is 2015
